statefp,state_name,X,Y,shapeid
15,Hawaii,-155.50256100000001,20.114155,15111
15,Hawaii,-155.387578,20.067118999999998,15111
15,Hawaii,-155.27031599999998,20.014525,15111
15,Hawaii,-155.166625,19.93789,15111
15,Hawaii,-155.124618,19.897288,15111
15,Hawaii,-155.086341,19.855399,15111
15,Hawaii,-155.091216,19.776367999999998,15111
15,Hawaii,-155.08711799999998,19.728013,15111
15,Hawaii,-155.045382,19.739824,15111
15,Hawaii,-155.00642299999996,19.739286,15111
15,Hawaii,-154.981102,19.690687,15111
15,Hawaii,-154.974342,19.633201,15111
15,Hawaii,-154.94710599999996,19.604855999999998,15111
15,Hawaii,-154.852618,19.549172,15111
15,Hawaii,-154.814417,19.530089999999998,15111
15,Hawaii,-154.816009,19.500647999999998,15111
15,Hawaii,-154.876618,19.433222999999998,15111
15,Hawaii,-154.944185,19.381851999999995,15111
15,Hawaii,-155.02053699999996,19.331317,15111
15,Hawaii,-155.113272,19.290613,15111
15,Hawaii,-155.15963499999998,19.268375,15111
15,Hawaii,-155.205892,19.260907,15111
15,Hawaii,-155.26461899999995,19.274213,15111
15,Hawaii,-155.31337,19.250698,15111
15,Hawaii,-155.360631,19.20893,15111
15,Hawaii,-155.390701,19.201171,15111
15,Hawaii,-155.453516,19.151951999999994,15111
15,Hawaii,-155.505281,19.137908,15111
15,Hawaii,-155.555326,19.069377,15111
15,Hawaii,-155.590697,19.007673,15111
15,Hawaii,-155.613966,18.970398999999997,15111
15,Hawaii,-155.638054,18.941723,15111
15,Hawaii,-155.672005,18.917465999999997,15111
15,Hawaii,-155.726043,18.969437,15111
15,Hawaii,-155.806109,19.013966999999997,15111
15,Hawaii,-155.88155,19.036643999999995,15111
15,Hawaii,-155.914216,19.099147,15111
15,Hawaii,-155.912069,19.179113999999995,15111
15,Hawaii,-155.90256499999998,19.258426999999998,15111
15,Hawaii,-155.890842,19.298904999999998,15111
15,Hawaii,-155.888701,19.348031,15111
15,Hawaii,-155.909087,19.415454999999998,15111
15,Hawaii,-155.92473199999998,19.45391,15111
15,Hawaii,-155.95149,19.486649,15111
15,Hawaii,-155.96935,19.555963,15111
15,Hawaii,-155.97820599999997,19.608159,15111
15,Hawaii,-155.997728,19.642816,15111
15,Hawaii,-156.02898199999998,19.650098,15111
15,Hawaii,-156.03332599999996,19.66923,15111
15,Hawaii,-156.064364,19.730766,15111
15,Hawaii,-156.04965099999995,19.780451999999997,15111
15,Hawaii,-156.69988999999998,20.920628999999998,15121
15,Hawaii,-156.680905,20.980262,15121
15,Hawaii,-156.61958099999998,21.027793,15121
15,Hawaii,-156.562773,21.016166999999996,15121
15,Hawaii,-156.518707,20.954662,15121
15,Hawaii,-156.481055,20.898198999999998,15121
15,Hawaii,-156.403304,20.915826,15121
15,Hawaii,-156.332817,20.94645,15121
15,Hawaii,-156.24255499999998,20.937837999999996,15121
15,Hawaii,-156.19471,20.891975,15121
15,Hawaii,-156.132669,20.861368999999996,15121
15,Hawaii,-156.059788,20.81054,15121
15,Hawaii,-156.003532,20.795545,15121
15,Hawaii,-155.985413,20.744245,15121
15,Hawaii,-156.00187,20.698064,15121
15,Hawaii,-156.043786,20.664901999999998,15121
15,Hawaii,-156.129898,20.627523,15121
15,Hawaii,-156.210258,20.628518,15121
15,Hawaii,-156.284391,20.596488,15121
15,Hawaii,-156.377633,20.578426999999998,15121
15,Hawaii,-156.431872,20.598143,15121
15,Hawaii,-156.443673,20.656018,15121
15,Hawaii,-156.458438,20.736676,15121
15,Hawaii,-156.462242,20.753951999999998,15121
15,Hawaii,-156.473562,20.790756,15121
15,Hawaii,-156.506026,20.799463,15121
15,Hawaii,-156.537752,20.778408,15121
15,Hawaii,-156.554617,20.786096,15121
15,Hawaii,-156.631794,20.82124,15121
15,Hawaii,-156.687804,20.890719999999998,15121
15,Hawaii,-156.69988999999998,20.920628999999998,15121
15,Hawaii,-156.670469,20.559908999999998,15131
15,Hawaii,-156.61073399999998,20.59377,15131
15,Hawaii,-156.56714,20.604895,15131
15,Hawaii,-156.543034,20.580115,15131
15,Hawaii,-156.539643,20.527643999999995,15131
15,Hawaii,-156.58623799999998,20.511711,15131
15,Hawaii,-156.668809,20.504738,15131
15,Hawaii,-156.702265,20.532451,15131
15,Hawaii,-156.670469,20.559908999999998,15131
15,Hawaii,-157.05912999999998,20.913407,15141
15,Hawaii,-157.010001,20.929756999999995,15141
15,Hawaii,-156.93752899999998,20.925273999999995,15141
15,Hawaii,-156.873125,20.894679,15141
15,Hawaii,-156.83704699999998,20.863574999999997,15141
15,Hawaii,-156.808469,20.820396,15141
15,Hawaii,-156.838321,20.764575,15141
15,Hawaii,-156.89029499999998,20.744854999999998,15141
15,Hawaii,-156.90908100000001,20.739532999999998,15141
15,Hawaii,-156.96788999999998,20.735079999999996,15141
15,Hawaii,-156.990678,20.775902,15141
15,Hawaii,-156.99183399999995,20.826602999999995,15141
15,Hawaii,-157.010911,20.854476,15141
15,Hawaii,-157.059663,20.884633999999995,15141
15,Hawaii,-157.05912999999998,20.913407,15141
